road_point_id,lat,lon,road_name,행정동_시도,행정동_시군구,행정동_읍면동
R00041,35.788013,127.111612,전주 데모도로,전북특별자치도,전주시 완산구,평화2동
R00042,35.791222,127.116183,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00043,35.795211,127.118698,전주 데모도로,전북특별자치도,전주시 완산구,삼천2동
R00044,35.800347,127.121283,전주 데모도로,전북특별자치도,전주시 완산구,삼천1동
R00045,35.802299,127.124981,전주 데모도로,전북특별자치도,전주시 완산구,삼천1동
R00046,35.805234,127.129248,전주 데모도로,전북특별자치도,전주시 완산구,효자1동
R00047,35.809363,127.132389,전주 데모도로,전북특별자치도,전주시 완산구,완산동
R00048,35.811944,127.135805,전주 데모도로,전북특별자치도,전주시 완산구,중화산1동
R00049,35.814873,127.139872,전주 데모도로,전북특별자치도,전주시 완산구,중앙동
R00050,35.819254,127.143162,전주 데모도로,전북특별자치도,전주시 완산구,중앙동
R00051,35.822437,127.146151,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00052,35.826737,127.150429,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00053,35.830333,127.153403,전주 데모도로,전북특별자치도,전주시 덕진구,인후1동
R00054,35.833718,127.15628,전주 데모도로,전북특별자치도,전주시 덕진구,인후3동
R00055,35.836059,127.160836,전주 데모도로,전북특별자치도,전주시 덕진구,인후3동
R00056,35.840218,127.163224,전주 데모도로,전북특별자치도,전주시 덕진구,인후1동
R00057,35.842324,127.166713,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00058,35.846005,127.171492,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00059,35.850445,127.173177,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00060,35.85261,127.176597,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00061,35.856379,127.180453,전주 데모도로,전북특별자치도,완주군,용진읍
R00062,35.860978,127.183322,전주 데모도로,전북특별자치도,완주군,용진읍
R00063,35.865229,127.186766,전주 데모도로,전북특별자치도,완주군,용진읍
R00064,35.866069,127.192037,전주 데모도로,전북특별자치도,완주군,용진읍
R00065,35.871408,127.194156,전주 데모도로,전북특별자치도,완주군,용진읍
R00066,35.874179,127.197996,전주 데모도로,전북특별자치도,완주군,용진읍
R00067,35.877436,127.200233,전주 데모도로,전북특별자치도,완주군,용진읍
R00068,35.879031,127.203977,전주 데모도로,전북특별자치도,완주군,소양면
R00069,35.745471,127.149299,전주 데모도로,전북특별자치도,완주군,구이면
R00070,35.748865,127.147329,전주 데모도로,전북특별자치도,완주군,구이면
R00071,35.754092,127.148307,전주 데모도로,전북특별자치도,완주군,구이면
R00072,35.759166,127.146231,전주 데모도로,전북특별자치도,완주군,구이면
R00073,35.765804,127.148793,전주 데모도로,전북특별자치도,완주군,구이면
R00074,35.768304,127.147497,전주 데모도로,전북특별자치도,전주시 완산구,평화2동
R00075,35.773982,127.148347,전주 데모도로,전북특별자치도,전주시 완산구,평화2동
R00076,35.778204,127.148321,전주 데모도로,전북특별자치도,전주시 완산구,평화2동
R00077,35.782909,127.148281,전주 데모도로,전북특별자치도,전주시 완산구,평화2동
R00078,35.788345,127.14824,전주 데모도로,전북특별자치도,전주시 완산구,서서학동
R00079,35.792888,127.148975,전주 데모도로,전북특별자치도,전주시 완산구,서서학동
R00080,35.796415,127.147441,전주 데모도로,전북특별자치도,전주시 완산구,서서학동
R00081,35.8024,127.147489,전주 데모도로,전북특별자치도,전주시 완산구,서서학동
R00082,35.806953,127.148901,전주 데모도로,전북특별자치도,전주시 완산구,서서학동
R00083,35.811975,127.14672,전주 데모도로,전북특별자치도,전주시 완산구,풍남동
R00084,35.816631,127.148041,전주 데모도로,전북특별자치도,전주시 완산구,풍남동
R00085,35.821804,127.148389,전주 데모도로,전북특별자치도,전주시 완산구,풍남동
R00086,35.826956,127.147903,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00087,35.830638,127.147691,전주 데모도로,전북특별자치도,전주시 덕진구,인후2동
R00088,35.835885,127.1478,전주 데모도로,전북특별자치도,전주시 덕진구,인후2동
R00089,35.841654,127.148283,전주 데모도로,전북특별자치도,전주시 덕진구,인후2동
R00090,35.846595,127.147731,전주 데모도로,전북특별자치도,전주시 덕진구,인후2동
R00091,35.851923,127.148471,전주 데모도로,전북특별자치도,전주시 덕진구,덕진동
R00092,35.855794,127.148422,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00093,35.860091,127.146524,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00094,35.864987,127.148523,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00095,35.870317,127.147904,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00096,35.874516,127.146631,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00097,35.880955,127.147854,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00098,35.884505,127.14753,전주 데모도로,전북특별자치도,전주시 덕진구,호성동
R00099,35.890533,127.148617,전주 데모도로,전북특별자치도,완주군,용진읍
R00100,35.893826,127.148815,전주 데모도로,전북특별자치도,완주군,용진읍
R00101,35.89925,127.147573,전주 데모도로,,,
R00102,35.903994,127.147452,전주 데모도로,,,
R00103,35.766707,127.205112,전주 데모도로,,,
R00104,35.770905,127.201572,전주 데모도로,,,
R00105,35.774689,127.198096,전주 데모도로,,,
R00106,35.776484,127.193677,전주 데모도로,,,
R00107,35.781744,127.189963,전주 데모도로,,,
R00108,35.785035,127.186453,전주 데모도로,,,
R00109,35.788213,127.185125,전주 데모도로,,,
R00110,35.792172,127.179274,전주 데모도로,,,
R00111,35.795652,127.178417,전주 데모도로,,,
R00112,35.800445,127.174046,전주 데모도로,,,
R00113,35.80096,127.170589,전주 데모도로,,,
R00114,35.806461,127.166725,전주 데모도로,,,
R00115,35.809502,127.16284,전주 데모도로,,,
R00116,35.812461,127.158257,전주 데모도로,,,
R00117,35.814964,127.156567,전주 데모도로,,,
R00118,35.818803,127.152232,전주 데모도로,,,
R00119,35.822136,127.149945,전주 데모도로,,,
R00120,35.825854,127.146328,전주 데모도로,,,
R00121,35.829855,127.142617,전주 데모도로,,,
R00122,35.833722,127.138737,전주 데모도로,,,
R00123,35.837549,127.13678,전주 데모도로,,,
R00124,35.839379,127.13237,전주 데모도로,,,
R00125,35.843201,127.129563,전주 데모도로,,,
R00126,35.847251,127.124777,전주 데모도로,,,
R00127,35.850219,127.120805,전주 데모도로,,,
R00128,35.853217,127.119876,전주 데모도로,,,
R00129,35.855777,127.114311,전주 데모도로,,,
R00130,35.860353,127.112973,전주 데모도로,,,
R00131,35.863854,127.10724,전주 데모도로,,,
R00132,35.865877,127.105213,전주 데모도로,,,
R00133,35.869658,127.101812,전주 데모도로,,,
R00134,35.874049,127.097945,전주 데모도로,,,
R00135,35.87861,127.095273,전주 데모도로,,,
R00136,35.881617,127.092076,전주 데모도로,,,
R00137,35.967595,126.656464,군산 데모도로,,,
R00138,35.967492,126.661925,군산 데모도로,,,
R00139,35.967245,126.667504,군산 데모도로,,,
R00140,35.967178,126.671296,군산 데모도로,,,
R00141,35.96754,126.675678,군산 데모도로,,,
R00142,35.969221,126.680535,군산 데모도로,,,
R00143,35.967487,126.685226,군산 데모도로,,,
R00144,35.967729,126.690468,군산 데모도로,,,
R00145,35.966917,126.695091,군산 데모도로,,,
R00146,35.968127,126.700955,군산 데모도로,,,
R00147,35.967717,126.705126,군산 데모도로,,,
R00148,35.967447,126.709582,군산 데모도로,,,
R00149,35.967056,126.713692,군산 데모도로,,,
R00150,35.967208,126.720263,군산 데모도로,,,
R00151,35.967403,126.724237,군산 데모도로,,,
R00152,35.967444,126.730199,군산 데모도로,,,
R00153,35.96705,126.73437,군산 데모도로,,,
R00154,35.967652,126.739072,군산 데모도로,,,
R00155,35.967871,126.743913,군산 데모도로,,,
R00156,35.968255,126.748701,군산 데모도로,,,
R00157,35.968921,126.753601,군산 데모도로,,,
R00158,35.966508,126.758865,군산 데모도로,,,
R00159,35.967974,126.763289,군산 데모도로,,,
R00160,35.967518,126.766635,군산 데모도로,,,
R00161,35.966337,126.774117,군산 데모도로,,,
R00162,35.96729,126.778488,군산 데모도로,,,
R00163,35.966578,126.781928,군산 데모도로,,,
R00164,35.968175,126.787437,군산 데모도로,,,
R00165,35.968076,126.792348,군산 데모도로,,,
R00166,35.967555,126.79673,군산 데모도로,,,
R00167,35.966864,126.803036,군산 데모도로,,,
R00168,35.968797,126.806176,군산 데모도로,,,
R00169,35.966927,126.811508,군산 데모도로,,,
R00170,35.967938,126.816473,군산 데모도로,,,
R00171,35.911481,126.679997,군산 데모도로,,,
R00172,35.91448,126.685149,군산 데모도로,,,
R00173,35.917621,126.688036,군산 데모도로,,,
R00174,35.922429,126.69067,군산 데모도로,,,
R00175,35.923497,126.693767,군산 데모도로,,,
R00176,35.927913,126.697188,군산 데모도로,,,
R00177,35.930958,126.701131,군산 데모도로,,,
R00178,35.93582,126.704849,군산 데모도로,,,
R00179,35.938291,126.706717,군산 데모도로,,,
R00180,35.942233,126.712116,군산 데모도로,,,
R00181,35.945464,126.714632,군산 데모도로,,,
R00182,35.948679,126.717391,군산 데모도로,,,
R00183,35.952733,126.721098,군산 데모도로,,,
R00184,35.955983,126.724956,군산 데모도로,,,
R00185,35.959372,126.72842,군산 데모도로,,,
R00186,35.96196,126.730818,군산 데모도로,,,
R00187,35.965956,126.734873,군산 데모도로,,,
R00188,35.969049,126.738483,군산 데모도로,,,
R00189,35.973478,126.742574,군산 데모도로,,,
R00190,35.97726,126.744251,군산 데모도로,,,
R00191,35.978885,126.748397,군산 데모도로,,,
R00192,35.983184,126.751861,군산 데모도로,,,
R00193,35.986169,126.755243,군산 데모도로,,,
R00194,35.990323,126.757954,군산 데모도로,,,
R00195,35.995053,126.762328,군산 데모도로,,,
R00196,35.997577,126.765335,군산 데모도로,,,
R00197,36.000672,126.76924,군산 데모도로,,,
R00198,36.004298,126.772459,군산 데모도로,,,
R00199,36.008213,126.774982,군산 데모도로,,,
R00200,36.01122,126.779538,군산 데모도로,,,
R00201,36.013271,126.78425,군산 데모도로,,,
R00202,36.018706,126.78486,군산 데모도로,,,
R00203,36.020964,126.790234,군산 데모도로,,,
R00204,36.024578,126.794229,군산 데모도로,,,
R00205,35.888615,126.736786,군산 데모도로,,,
R00206,35.894142,126.737256,군산 데모도로,,,
R00207,35.897151,126.736213,군산 데모도로,,,
R00208,35.903116,126.736045,군산 데모도로,,,
R00209,35.906807,126.736432,군산 데모도로,,,
R00210,35.912191,126.736465,군산 데모도로,,,
R00211,35.915869,126.737413,군산 데모도로,,,
R00212,35.921356,126.738014,군산 데모도로,,,
R00213,35.926701,126.737487,군산 데모도로,,,
R00214,35.931778,126.737521,군산 데모도로,,,
R00215,35.936584,126.736765,군산 데모도로,,,
R00216,35.941799,126.73834,군산 데모도로,,,
R00217,35.945693,126.737156,군산 데모도로,,,
R00218,35.950727,126.736954,군산 데모도로,,,
R00219,35.955608,126.73509,군산 데모도로,,,
R00220,35.960287,126.7373,군산 데모도로,,,
R00221,35.96474,126.737245,군산 데모도로,,,
R00222,35.970253,126.736466,군산 데모도로,,,
R00223,35.975607,126.737077,군산 데모도로,,,
R00224,35.980116,126.737311,군산 데모도로,,,
R00225,35.984812,126.735449,군산 데모도로,,,
R00226,35.989253,126.735337,군산 데모도로,,,
R00227,35.994827,126.737227,군산 데모도로,,,
R00228,35.999874,126.736942,군산 데모도로,,,
R00229,36.004741,126.735496,군산 데모도로,,,
R00230,36.008837,126.73561,군산 데모도로,,,
R00231,36.01351,126.737731,군산 데모도로,,,
R00232,36.019374,126.737064,군산 데모도로,,,
R00233,36.02333,126.735904,군산 데모도로,,,
R00234,36.028437,126.737377,군산 데모도로,,,
R00235,36.033441,126.73549,군산 데모도로,,,
R00236,36.038076,126.735261,군산 데모도로,,,
R00237,36.043414,126.736115,군산 데모도로,,,
R00238,36.046844,126.737173,군산 데모도로,,,
R00239,35.911523,126.793331,군산 데모도로,,,
R00240,35.916094,126.790185,군산 데모도로,,,
R00241,35.917537,126.786675,군산 데모도로,,,
R00242,35.921216,126.78377,군산 데모도로,,,
R00243,35.925042,126.779721,군산 데모도로,,,
R00244,35.927264,126.77607,군산 데모도로,,,
R00245,35.931662,126.771881,군산 데모도로,,,
R00246,35.934975,126.769475,군산 데모도로,,,
R00247,35.938556,126.764753,군산 데모도로,,,
R00248,35.941796,126.761985,군산 데모도로,,,
R00249,35.945551,126.758944,군산 데모도로,,,
R00250,35.948556,126.755141,군산 데모도로,,,
R00251,35.952319,126.752702,군산 데모도로,,,
R00252,35.955896,126.749596,군산 데모도로,,,
R00253,35.959922,126.746219,군산 데모도로,,,
R00254,35.963515,126.742837,군산 데모도로,,,
R00255,35.965179,126.738767,군산 데모도로,,,
R00256,35.970267,126.735865,군산 데모도로,,,
R00257,35.972303,126.731918,군산 데모도로,,,
R00258,35.976324,126.729322,군산 데모도로,,,
R00259,35.978728,126.724062,군산 데모도로,,,
R00260,35.98186,126.721273,군산 데모도로,,,
R00261,35.988141,126.717713,군산 데모도로,,,
R00262,35.990055,126.714701,군산 데모도로,,,
R00263,35.993332,126.711143,군산 데모도로,,,
R00264,35.997116,126.706867,군산 데모도로,,,
R00265,36.000204,126.70455,군산 데모도로,,,
R00266,36.004348,126.701511,군산 데모도로,,,
R00267,36.007361,126.697422,군산 데모도로,,,
R00268,36.01108,126.693329,군산 데모도로,,,
R00269,36.013538,126.690229,군산 데모도로,,,
R00270,36.016519,126.687173,군산 데모도로,,,
R00271,36.021575,126.682963,군산 데모도로,,,
R00272,36.024573,126.679591,군산 데모도로,,,
R00273,35.947588,126.879039,익산 데모도로,,,
R00274,35.947598,126.881553,익산 데모도로,,,
R00275,35.94845,126.887485,익산 데모도로,,,
R00276,35.948767,126.893546,익산 데모도로,,,
R00277,35.947756,126.896589,익산 데모도로,,,
R00278,35.949426,126.9025,익산 데모도로,,,
R00279,35.94886,126.906278,익산 데모도로,,,
R00280,35.949088,126.912102,익산 데모도로,,,
R00281,35.948433,126.915978,익산 데모도로,,,
R00282,35.948375,126.92239,익산 데모도로,,,
R00283,35.947534,126.925525,익산 데모도로,,,
R00284,35.947861,126.930646,익산 데모도로,,,
R00285,35.948289,126.936453,익산 데모도로,,,
R00286,35.948623,126.940673,익산 데모도로,,,
R00287,35.948494,126.945916,익산 데모도로,,,
R00288,35.947123,126.951077,익산 데모도로,,,
R00289,35.947722,126.954865,익산 데모도로,,,
R00290,35.948538,126.959971,익산 데모도로,,,
R00291,35.948641,126.964972,익산 데모도로,,,
R00292,35.948097,126.970791,익산 데모도로,,,
R00293,35.948796,126.974781,익산 데모도로,,,
R00294,35.948785,126.978924,익산 데모도로,,,
R00295,35.949822,126.983505,익산 데모도로,,,
R00296,35.948379,126.988915,익산 데모도로,,,
R00297,35.948073,126.993646,익산 데모도로,,,
R00298,35.94776,126.999644,익산 데모도로,,,
R00299,35.947457,127.004349,익산 데모도로,,,
R00300,35.948754,127.008242,익산 데모도로,,,
R00301,35.948673,127.013247,익산 데모도로,,,
R00302,35.947529,127.017443,익산 데모도로,,,
R00303,35.948759,127.023477,익산 데모도로,,,
R00304,35.948469,127.027629,익산 데모도로,,,
R00305,35.948167,127.032524,익산 데모도로,,,
R00306,35.947077,127.037643,익산 데모도로,,,
R00307,35.892097,126.901079,익산 데모도로,,,
R00308,35.896398,126.903757,익산 데모도로,,,
R00309,35.898125,126.907981,익산 데모도로,,,
R00310,35.902187,126.909986,익산 데모도로,,,
R00311,35.905867,126.914919,익산 데모도로,,,
R00312,35.90739,126.918092,익산 데모도로,,,
R00313,35.911736,126.921285,익산 데모도로,,,
R00314,35.914794,126.925322,익산 데모도로,,,
R00315,35.920392,126.928644,익산 데모도로,,,
R00316,35.921075,126.932087,익산 데모도로,,,
R00317,35.925879,126.934545,익산 데모도로,,,
R00318,35.929691,126.93936,익산 데모도로,,,
R00319,35.932404,126.941022,익산 데모도로,,,
R00320,35.934892,126.945135,익산 데모도로,,,
R00321,35.93962,126.948668,익산 데모도로,,,
R00322,35.942679,126.952855,익산 데모도로,,,
R00323,35.94691,126.956026,익산 데모도로,,,
R00324,35.950586,126.958855,익산 데모도로,,,
R00325,35.952676,126.962377,익산 데모도로,,,
R00326,35.956457,126.964735,익산 데모도로,,,
R00327,35.959917,126.970373,익산 데모도로,,,
R00328,35.964288,126.973395,익산 데모도로,,,
R00329,35.967248,126.97747,익산 데모도로,,,
R00330,35.969842,126.979209,익산 데모도로,,,
R00331,35.9748,126.983332,익산 데모도로,,,
R00332,35.976972,126.987128,익산 데모도로,,,
R00333,35.980563,126.989583,익산 데모도로,,,
R00334,35.983692,126.993823,익산 데모도로,,,
R00335,35.987871,126.998088,익산 데모도로,,,
R00336,35.990952,127.00024,익산 데모도로,,,
R00337,35.995591,127.004573,익산 데모도로,,,
R00338,35.998113,127.006219,익산 데모도로,,,
R00339,36.000872,127.010002,익산 데모도로,,,
R00340,36.004894,127.013813,익산 데모도로,,,
R00341,35.869422,126.9565,익산 데모도로,,,
R00342,35.872336,126.957771,익산 데모도로,,,
R00343,35.878362,126.955789,익산 데모도로,,,
R00344,35.881631,126.957415,익산 데모도로,,,
R00345,35.888643,126.958921,익산 데모도로,,,
R00346,35.892252,126.957481,익산 데모도로,,,
R00347,35.896805,126.958043,익산 데모도로,,,
R00348,35.903309,126.958479,익산 데모도로,,,
R00349,35.907068,126.957013,익산 데모도로,,,
R00350,35.911942,126.958567,익산 데모도로,,,
R00351,35.916504,126.956329,익산 데모도로,,,
R00352,35.921381,126.957405,익산 데모도로,,,
R00353,35.925207,126.957762,익산 데모도로,,,
R00354,35.931685,126.958902,익산 데모도로,,,
R00355,35.935246,126.958111,익산 데모도로,,,
R00356,35.941704,126.957964,익산 데모도로,,,
R00357,35.945171,126.956855,익산 데모도로,,,
R00358,35.950792,126.957663,익산 데모도로,,,
R00359,35.955181,126.958504,익산 데모도로,,,
R00360,35.960141,126.956274,익산 데모도로,,,
R00361,35.965113,126.957936,익산 데모도로,,,
R00362,35.970358,126.957834,익산 데모도로,,,
R00363,35.976012,126.95682,익산 데모도로,,,
R00364,35.979519,126.958682,익산 데모도로,,,
R00365,35.983286,126.957562,익산 데모도로,,,
R00366,35.990372,126.95845,익산 데모도로,,,
R00367,35.994823,126.95808,익산 데모도로,,,
R00368,35.99848,126.958561,익산 데모도로,,,
R00369,36.003218,126.956802,익산 데모도로,,,
R00370,36.009178,126.957255,익산 데모도로,,,
R00371,36.013899,126.957902,익산 데모도로,,,
R00372,36.019848,126.957904,익산 데모도로,,,
R00373,36.023019,126.958074,익산 데모도로,,,
R00374,36.027718,126.958239,익산 데모도로,,,
R00375,35.891777,127.014449,익산 데모도로,,,
R00376,35.893913,127.009165,익산 데모도로,,,
R00377,35.897537,127.008534,익산 데모도로,,,
R00378,35.901213,127.004396,익산 데모도로,,,
R00379,35.904996,127.000287,익산 데모도로,,,
R00380,35.908842,126.998177,익산 데모도로,,,
R00381,35.912711,126.993868,익산 데모도로,,,
R00382,35.916638,126.989727,익산 데모도로,,,
R00383,35.919906,126.987372,익산 데모도로,,,
R00384,35.92321,126.983204,익산 데모도로,,,
R00385,35.925709,126.979276,익산 데모도로,,,
R00386,35.928879,126.975814,익산 데모도로,,,
R00387,35.933129,126.972868,익산 데모도로,,,
R00388,35.936603,126.969941,익산 데모도로,,,
R00389,35.938987,126.965408,익산 데모도로,,,
R00390,35.942997,126.9622,익산 데모도로,,,
R00391,35.94597,126.960501,익산 데모도로,,,
R00392,35.948941,126.957302,익산 데모도로,,,
R00393,35.953645,126.953148,익산 데모도로,,,
R00394,35.957479,126.949461,익산 데모도로,,,
R00395,35.961463,126.944843,익산 데모도로,,,
R00396,35.963618,126.941575,익산 데모도로,,,
R00397,35.965969,126.938281,익산 데모도로,,,
R00398,35.971895,126.935194,익산 데모도로,,,
R00399,35.975401,126.933347,익산 데모도로,,,
R00400,35.979538,126.929792,익산 데모도로,,,
R00401,35.98252,126.925258,익산 데모도로,,,
R00402,35.984458,126.921808,익산 데모도로,,,
R00403,35.987727,126.918278,익산 데모도로,,,
R00404,35.991681,126.914419,익산 데모도로,,,
R00405,35.993619,126.911571,익산 데모도로,,,
R00406,35.997527,126.907476,익산 데모도로,,,
R00407,36.00134,126.904199,익산 데모도로,,,
R00408,36.005646,126.900915,익산 데모도로,,,
R00409,35.417212,127.310544,남원 데모도로,,,
R00410,35.416338,127.315359,남원 데모도로,,,
R00411,35.415496,127.320334,남원 데모도로,,,
R00412,35.416994,127.325639,남원 데모도로,,,
R00413,35.415453,127.328731,남원 데모도로,,,
R00414,35.416024,127.335612,남원 데모도로,,,
R00415,35.416555,127.338949,남원 데모도로,,,
R00416,35.415383,127.343861,남원 데모도로,,,
R00417,35.415874,127.349843,남원 데모도로,,,
R00418,35.417109,127.353301,남원 데모도로,,,
R00419,35.416927,127.35934,남원 데모도로,,,
R00420,35.415574,127.363675,남원 데모도로,,,
R00421,35.416639,127.368696,남원 데모도로,,,
R00422,35.415203,127.373522,남원 데모도로,,,
R00423,35.416845,127.379385,남원 데모도로,,,
R00424,35.415932,127.382745,남원 데모도로,,,
R00425,35.416254,127.38818,남원 데모도로,,,
R00426,35.416468,127.393247,남원 데모도로,,,
R00427,35.415612,127.397951,남원 데모도로,,,
R00428,35.41588,127.402421,남원 데모도로,,,
R00429,35.417596,127.406391,남원 데모도로,,,
R00430,35.416204,127.411326,남원 데모도로,,,
R00431,35.416507,127.4178,남원 데모도로,,,
R00432,35.416519,127.421833,남원 데모도로,,,
R00433,35.41733,127.426995,남원 데모도로,,,
R00434,35.416974,127.432113,남원 데모도로,,,
R00435,35.414387,127.436407,남원 데모도로,,,
R00436,35.415645,127.440729,남원 데모도로,,,
R00437,35.417432,127.445895,남원 데모도로,,,
R00438,35.417725,127.450021,남원 데모도로,,,
R00439,35.415641,127.456388,남원 데모도로,,,
R00440,35.416161,127.460918,남원 데모도로,,,
R00441,35.416321,127.465452,남원 데모도로,,,
R00442,35.416187,127.470526,남원 데모도로,,,
R00443,35.360281,127.334962,남원 데모도로,,,
R00444,35.363118,127.336984,남원 데모도로,,,
R00445,35.366323,127.341717,남원 데모도로,,,
R00446,35.3706,127.342787,남원 데모도로,,,
R00447,35.372185,127.346964,남원 데모도로,,,
R00448,35.377135,127.35095,남원 데모도로,,,
R00449,35.380762,127.354279,남원 데모도로,,,
R00450,35.384808,127.358371,남원 데모도로,,,
R00451,35.387313,127.36206,남원 데모도로,,,
R00452,35.389533,127.364627,남원 데모도로,,,
R00453,35.394212,127.368537,남원 데모도로,,,
R00454,35.396343,127.371362,남원 데모도로,,,
R00455,35.401253,127.375306,남원 데모도로,,,
R00456,35.405231,127.378934,남원 데모도로,,,
R00457,35.407786,127.382301,남원 데모도로,,,
R00458,35.411116,127.38536,남원 데모도로,,,
R00459,35.415242,127.388654,남원 데모도로,,,
R00460,35.418368,127.392787,남원 데모도로,,,
R00461,35.422041,127.396406,남원 데모도로,,,
R00462,35.426601,127.399463,남원 데모도로,,,
R00463,35.428076,127.402758,남원 데모도로,,,
R00464,35.432156,127.406257,남원 데모도로,,,
R00465,35.436303,127.408077,남원 데모도로,,,
R00466,35.439744,127.41398,남원 데모도로,,,
R00467,35.442511,127.416527,남원 데모도로,,,
R00468,35.445372,127.419546,남원 데모도로,,,
R00469,35.449458,127.423413,남원 데모도로,,,
R00470,35.452903,127.426837,남원 데모도로,,,
R00471,35.456455,127.430377,남원 데모도로,,,
R00472,35.458538,127.433838,남원 데모도로,,,
R00473,35.463984,127.436665,남원 데모도로,,,
R00474,35.467161,127.43947,남원 데모도로,,,
R00475,35.469519,127.443091,남원 데모도로,,,
R00476,35.473934,127.448117,남원 데모도로,,,
R00477,35.336331,127.39122,남원 데모도로,,,
R00478,35.342404,127.390377,남원 데모도로,,,
R00479,35.346188,127.390914,남원 데모도로,,,
R00480,35.350356,127.390477,남원 데모도로,,,
R00481,35.357294,127.39005,남원 데모도로,,,
R00482,35.36124,127.390767,남원 데모도로,,,
R00483,35.365376,127.390555,남원 데모도로,,,
R00484,35.371566,127.390788,남원 데모도로,,,
R00485,35.375685,127.391521,남원 데모도로,,,
R00486,35.379834,127.389667,남원 데모도로,,,
R00487,35.386123,127.390496,남원 데모도로,,,
