grid_id,road_risk_score,risk_level,relative_top_percent,absolute_risk_score,absolute_risk_level,action_level,action_rank,risk_trigger,preventive_repair_candidate,feature_risk_score,model_relative_score,relative_ai_index,absolute_feature_score,absolute_risk_index,road_structure_score,lanes,road_rank,road_type,lanes_lift,road_rank_lift
22935_7908,85.4,매우 높음,0.073,46.7,보통,우선점검,28,과거 포트홀 이력+동결융해 3회 이상,0,0.75741729,1.0,0.72852622,0.50505177,0.46745277,0.2413665,1,105,0,1.09148907,1.19995074
22884_7956,84.7,매우 높음,0.145,46.6,보통,우선점검,29,과거 포트홀 이력+동결융해 3회 이상,0,0.75992017,1.0,0.7178353,0.51932118,0.46583705,0.15924794,2,103,0,0.75015182,1.04174334
22963_7997,83.1,매우 높음,0.312,45.7,보통,우선점검,30,과거 포트홀 이력+동결융해 3회 이상,0,0.71824573,1.0,0.69074691,0.50766176,0.45709248,0.15924794,2,103,0,0.75015182,1.04174334
22939_8040,84.4,매우 높음,0.167,45.0,보통,우선점검,31,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74797177,1.0,0.71154929,0.49571042,0.44960943,0.16911762,1,106,0,1.09148907,0.85584836
22924_7982,84.3,매우 높음,0.196,45.0,보통,우선점검,32,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74785419,1.0,0.71147286,0.49571042,0.44960943,0.16911762,1,106,0,1.09148907,0.85584836
22922_8001,84.3,매우 높음,0.196,44.8,보통,우선점검,33,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74790458,1.0,0.71002517,0.49571042,0.44812898,0.15924794,2,103,0,0.75015182,1.04174334
22932_8045,84.3,매우 높음,0.196,44.8,보통,우선점검,34,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74819014,1.0,0.71021078,0.49571042,0.44812898,0.15924794,2,103,0,0.75015182,1.04174334
22847_7995,84.0,매우 높음,0.232,44.6,보통,우선점검,35,과거 포트홀 이력+동결융해 3회 이상,0,0.74226488,1.0,0.70635936,0.49330405,0.4463242,0.15924794,2,103,0,0.75015182,1.04174334
22893_7839,86.4,매우 높음,0.044,44.5,보통,우선점검,36,과거 포트홀 이력+동결융해 3회 이상,0,0.64173946,1.0,0.74635469,0.35107917,0.44499239,0.86149359,1,104,0,1.09148907,4.15345269
22915_8070,84.4,매우 높음,0.167,44.3,보통,우선점검,37,과거 포트홀 이력+동결융해 3회 이상,0,0.75038226,1.0,0.71311611,0.48696612,0.44305121,0.16911762,1,106,0,1.09148907,0.85584836
23023_7901,80.8,매우 높음,0.45,44.3,보통,우선점검,38,과거 포트홀 이력+동결융해 3회 이상,0,0.694367,1.0,0.65322747,0.51766233,0.44259464,0.01259279,2,101,0,0.75015182,0.34326349
22933_8017,83.9,매우 높음,0.254,44.2,보통,우선점검,39,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74802217,1.0,0.70424693,0.49571042,0.44227431,0.12021682,2,106,0,0.75015182,0.85584836
23066_7931,82.6,매우 높음,0.37,44.1,보통,우선점검,40,과거 포트홀 이력+동결융해 3회 이상,0,0.69343848,1.0,0.68195733,0.47709155,0.44149995,0.20814874,1,103,0,1.09148907,1.04174334
22974_7944,83.2,매우 높음,0.298,44.0,보통,우선점검,41,과거 포트홀 이력+동결융해 3회 이상,0,0.71816174,1.0,0.69217277,0.48245628,0.43966882,0.16911762,1,106,0,1.09148907,0.85584836
22984_7842,82.1,매우 높음,0.414,43.6,보통,우선점검,42,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.6910028,1.0,0.67451946,0.47761667,0.43603911,0.16911762,1,106,0,1.09148907,0.85584836
23079_7976,82.1,매우 높음,0.414,43.6,보통,우선점검,43,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.69117078,1.0,0.67462865,0.47761667,0.43603911,0.16911762,1,106,0,1.09148907,0.85584836
22893_8012,84.4,매우 높음,0.167,43.4,보통,우선점검,44,과거 포트홀 이력+동결융해 3회 이상,0,0.7398124,1.0,0.71210037,0.46697985,0.43391617,0.20814874,1,103,0,1.09148907,1.04174334
22930_8019,84.4,매우 높음,0.167,43.4,보통,우선점검,45,과거 포트홀 이력+동결융해 3회 이상,0,0.75030667,1.0,0.71306698,0.47436338,0.43359915,0.16911762,1,106,0,1.09148907,0.85584836
23017_7917,82.2,매우 높음,0.4,43.3,보통,우선점검,46,과거 포트홀 이력+동결융해 3회 이상,0,0.69342169,1.0,0.67609174,0.47380388,0.43317953,0.16911762,1,106,0,1.09148907,0.85584836
22839_7886,85.1,매우 높음,0.102,42.9,보통,우선점검,47,과거 포트홀 이력+동결융해 3회 이상,0,0.75725772,1.0,0.72343983,0.46066821,0.42918244,0.20814874,1,103,0,1.09148907,1.04174334
23051_7985,83.8,매우 높음,0.269,42.4,보통,우선점검,48,과거 포트홀 이력+동결융해 3회 이상,0,0.71792657,1.0,0.70285724,0.44683984,0.42379383,0.2413665,1,105,0,1.09148907,1.19995074
23024_7880,82.9,매우 높음,0.356,42.4,보통,우선점검,49,과거 포트홀 이력+동결융해 3회 이상,0,0.6932873,1.0,0.68684172,0.44750251,0.42429083,0.2413665,1,105,0,1.09148907,1.19995074
22997_7882,82.5,매우 높음,0.385,42.3,보통,우선점검,50,과거 포트홀 이력+동결융해 3회 이상,0,0.69079283,1.0,0.68023765,0.45186324,0.42257871,0.20814874,1,103,0,1.09148907,1.04174334
23019_8026,83.8,매우 높음,0.269,42.2,보통,우선점검,51,과거 포트홀 이력+동결융해 3회 이상,0,0.71787617,1.0,0.70282449,0.44464806,0.42214999,0.2413665,1,105,0,1.09148907,1.19995074
23026_7935,82.1,매우 높음,0.414,41.9,보통,우선점검,52,과거 포트홀 이력+동결융해 3회 이상,0,0.69081803,1.0,0.67439936,0.45515091,0.4191898,0.16911762,1,106,0,1.09148907,0.85584836
22939_7847,82.2,매우 높음,0.4,41.0,보통,우선점검,53,과거 포트홀 이력+동결융해 3회 이상,0,0.69319492,1.0,0.67594434,0.44311895,0.41016583,0.16911762,1,106,0,1.09148907,0.85584836
22896_7838,44.0,높음,0.538,40.2,보통,우선점검,54,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22896_7839,44.0,높음,0.538,40.2,보통,우선점검,55,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22897_7836,44.0,높음,0.538,40.2,보통,우선점검,56,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22897_7838,44.0,높음,0.538,40.2,보통,우선점검,57,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22897_7839,44.0,높음,0.538,40.2,보통,우선점검,58,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22898_7837,44.0,높음,0.538,40.2,보통,우선점검,59,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22898_7839,44.0,높음,0.538,40.2,보통,우선점검,60,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22900_7838,44.0,높음,0.538,40.2,보통,우선점검,61,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22901_7837,44.0,높음,0.538,40.2,보통,우선점검,62,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22901_7839,44.0,높음,0.538,40.2,보통,우선점검,63,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22902_7836,44.0,높음,0.538,40.2,보통,우선점검,64,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22904_7843,44.0,높음,0.538,40.2,보통,우선점검,65,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22904_7844,44.0,높음,0.538,40.2,보통,우선점검,66,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22905_7838,44.0,높음,0.538,40.2,보통,우선점검,67,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22905_7844,44.0,높음,0.538,40.2,보통,우선점검,68,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22906_7838,44.0,높음,0.538,40.2,보통,우선점검,69,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22906_7839,44.0,높음,0.538,40.2,보통,우선점검,70,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22906_7841,44.0,높음,0.538,40.2,보통,우선점검,71,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22907_7836,44.0,높음,0.538,40.2,보통,우선점검,72,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22907_7837,44.0,높음,0.538,40.2,보통,우선점검,73,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22907_7838,44.0,높음,0.538,40.2,보통,우선점검,74,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22908_7836,44.0,높음,0.538,40.2,보통,우선점검,75,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22909_7842,44.0,높음,0.538,40.2,보통,우선점검,76,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22909_7843,44.0,높음,0.538,40.2,보통,우선점검,77,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22910_7836,44.0,높음,0.538,40.2,보통,우선점검,78,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22910_7843,44.0,높음,0.538,40.2,보통,우선점검,79,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22910_7844,44.0,높음,0.538,40.2,보통,우선점검,80,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22911_7845,44.0,높음,0.538,40.2,보통,우선점검,81,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,3,2.05829119,4.15345269
22913_7837,44.0,높음,0.538,40.2,보통,우선점검,82,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22913_7845,44.0,높음,0.538,40.2,보통,우선점검,83,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22914_7840,44.0,높음,0.538,40.2,보통,우선점검,84,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22914_7842,44.0,높음,0.538,40.2,보통,우선점검,85,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22914_7843,44.0,높음,0.538,40.2,보통,우선점검,86,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22915_7838,44.0,높음,0.538,40.2,보통,우선점검,87,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22915_7839,44.0,높음,0.538,40.2,보통,우선점검,88,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22915_7840,44.0,높음,0.538,40.2,보통,우선점검,89,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22915_7841,44.0,높음,0.538,40.2,보통,우선점검,90,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22915_7842,44.0,높음,0.538,40.2,보통,우선점검,91,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
22916_7840,44.0,높음,0.538,40.2,보통,우선점검,92,없음,0,0.06666646,0.0,0.1933332,0.2694125,0.40195163,1.0,3,104,0,2.05829119,4.15345269
23101_7980,82.1,매우 높음,0.414,39.1,낮음,우선점검,93,과거 포트홀 이력+동결융해 3회 이상,0,0.69070044,1.0,0.67432293,0.41734269,0.39083363,0.16911762,1,106,0,1.09148907,0.85584836
23045_7909,80.8,매우 높음,0.45,38.5,낮음,우선점검,94,과거 포트홀 이력+동결융해 3회 이상,0,0.69315292,1.0,0.65243832,0.44147511,0.38545423,0.01259279,2,101,0,0.75015182,0.34326349
22901_8015,84.0,매우 높음,0.232,38.4,낮음,우선점검,95,과거 포트홀 이력+동결융해 3회 이상,0,0.73938405,1.0,0.70596728,0.40780177,0.38367794,0.16911762,1,106,0,1.09148907,0.85584836
22875_8034,83.9,매우 높음,0.254,38.2,낮음,우선점검,96,과거 포트홀 이력+동결융해 3회 이상,0,0.73938405,1.0,0.70448683,0.40780177,0.38219749,0.15924794,2,103,0,0.75015182,1.04174334
22977_8012,83.1,매우 높음,0.312,38.2,낮음,우선점검,97,과거 포트홀 이력+동결융해 3회 이상,0,0.7153733,1.0,0.69036029,0.40572112,0.38211745,0.16911762,1,106,0,1.09148907,0.85584836
22875_7836,41.5,높음,0.821,38.1,낮음,우선점검,98,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22875_7837,41.5,높음,0.821,38.1,낮음,우선점검,99,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22876_7837,41.5,높음,0.821,38.1,낮음,우선점검,100,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22876_7838,41.5,높음,0.821,38.1,낮음,우선점검,101,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22876_7839,41.5,높음,0.821,38.1,낮음,우선점검,102,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22877_7839,41.5,높음,0.821,38.1,낮음,우선점검,103,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22878_7838,41.5,높음,0.821,38.1,낮음,우선점검,104,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22878_7839,41.5,높음,0.821,38.1,낮음,우선점검,105,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22879_7837,41.5,높음,0.821,38.1,낮음,우선점검,106,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22879_7838,41.5,높음,0.821,38.1,낮음,우선점검,107,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22880_7836,41.5,높음,0.821,38.1,낮음,우선점검,108,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22880_7837,41.5,높음,0.821,38.1,낮음,우선점검,109,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22884_7840,41.5,높음,0.821,38.1,낮음,우선점검,110,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22885_7841,41.5,높음,0.821,38.1,낮음,우선점검,111,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,3,1.09148907,4.15345269
22885_7848,41.5,높음,0.821,38.1,낮음,우선점검,112,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22886_7839,41.5,높음,0.821,38.1,낮음,우선점검,113,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22886_7840,41.5,높음,0.821,38.1,낮음,우선점검,114,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22886_7841,41.5,높음,0.821,38.1,낮음,우선점검,115,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22887_7839,41.5,높음,0.821,38.1,낮음,우선점검,116,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22887_7840,41.5,높음,0.821,38.1,낮음,우선점검,117,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22887_7841,41.5,높음,0.821,38.1,낮음,우선점검,118,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22888_7836,41.5,높음,0.821,38.1,낮음,우선점검,119,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22888_7837,41.5,높음,0.821,38.1,낮음,우선점검,120,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22888_7838,41.5,높음,0.821,38.1,낮음,우선점검,121,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,3,1.09148907,4.15345269
22888_7839,41.5,높음,0.821,38.1,낮음,우선점검,122,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22888_7840,41.5,높음,0.821,38.1,낮음,우선점검,123,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22888_7841,41.5,높음,0.821,38.1,낮음,우선점검,124,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22889_7837,41.5,높음,0.821,38.1,낮음,우선점검,125,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22889_7838,41.5,높음,0.821,38.1,낮음,우선점검,126,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22889_7839,41.5,높음,0.821,38.1,낮음,우선점검,127,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22889_7840,41.5,높음,0.821,38.1,낮음,우선점검,128,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22889_7841,41.5,높음,0.821,38.1,낮음,우선점검,129,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22890_7837,41.5,높음,0.821,38.1,낮음,우선점검,130,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22890_7838,41.5,높음,0.821,38.1,낮음,우선점검,131,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22891_7836,41.5,높음,0.821,38.1,낮음,우선점검,132,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22891_7837,41.5,높음,0.821,38.1,낮음,우선점검,133,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22891_7838,41.5,높음,0.821,38.1,낮음,우선점검,134,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22892_7839,41.5,높음,0.821,38.1,낮음,우선점검,135,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22892_7840,41.5,높음,0.821,38.1,낮음,우선점검,136,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22893_7836,41.5,높음,0.821,38.1,낮음,우선점검,137,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
22893_7840,41.5,높음,0.821,38.1,낮음,우선점검,138,없음,0,0.06666646,0.0,0.17255724,0.2694125,0.38117567,0.86149359,1,104,0,1.09148907,4.15345269
