event_id,event_date,lat,lon,severity,road_name
P0100,2025-11-28,35.21603,126.504332,3,함영로
P0060,2025-12-02,35.846294,127.935363,2,우두령로
P0058,2025-12-10,35.270119,126.368692,1,백수로
P0035,2025-12-12,35.986351,126.782376,2,군익로
P0085,2025-12-15,35.683743,127.231709,3,석등슬치로
P0093,2025-12-16,35.986375,127.244251,2,대아저수로
P0105,2025-12-16,35.865602,127.654303,3,안성로
P0097,2025-12-17,36.084761,126.682581,2,대백제로
P0071,2025-12-29,36.060538,127.258953,2,대둔산로
P0086,2025-12-31,35.683906,127.231992,2,석등슬치로
P0108,2026-01-01,35.396178,127.507708,1,운봉로
P0052,2026-01-06,36.218523,127.898516,2,경부고속도로
P0056,2026-01-08,35.625625,127.737552,1,육십령로
P0010,2026-01-10,35.560227,127.469374,1,장남로
P0067,2026-01-22,36.018435,126.986466,2,황금로
P0012,2026-01-24,36.029846,127.455888,1,보석사로
P0022,2026-01-26,35.325304,127.111514,3,금풍로
P0047,2026-01-27,35.421033,126.481409,2,샘목로
P0076,2026-01-28,36.248583,126.90029,1,의자로
P0037,2026-01-31,35.671653,126.787848,1,일반국도29호선
P0064,2026-02-01,35.647207,127.695159,3,함양남서로
P0082,2026-02-02,35.525759,127.625165,3,아백로
P0015,2026-02-14,35.246815,127.033674,1,남대덕로
P0107,2026-02-16,36.006221,127.67545,3,한풍루로
P0068,2026-02-18,36.018387,126.987216,3,황금로
P0109,2026-02-25,35.3956,127.507106,1,운봉로
P0099,2026-03-01,35.216938,126.387627,1,일반국도77호선
P0104,2026-03-02,35.865898,127.654344,2,안성로
P0059,2026-03-03,35.846518,127.935596,2,우두령로
P0110,2026-03-03,35.299598,127.391533,2,순천완주고속도로
P0036,2026-03-04,35.671159,126.78894,3,일반국도29호선
P0087,2026-03-04,35.502158,127.268006,1,충효로
P0081,2026-03-06,35.525954,127.625453,1,아백로
P0016,2026-03-10,35.24671,127.03346,2,남대덕로
P0045,2026-03-11,35.738092,126.730809,2,부안로
P0002,2026-03-13,36.050026,127.476919,2,보석사로
P0042,2026-03-13,35.912992,126.524321,2,새만금로
P0066,2026-03-14,36.02326,127.093272,2,호남로
P0032,2026-03-15,35.839628,127.827241,2,송계로
P0024,2026-03-19,35.490943,127.501336,2,광주대구고속도로
P0096,2026-03-20,36.086237,126.682678,3,대백제로
P0014,2026-03-21,36.030504,127.455578,1,보석사로
P0020,2026-03-21,35.325548,127.11127,3,금풍로
P0089,2026-03-23,36.003724,126.824611,2,망해산로
P0039,2026-03-24,35.653313,127.51977,3,장천로
P0054,2026-03-26,35.324419,127.223412,2,청계동로
P0063,2026-03-26,35.977547,127.650434,3,무주로
P0019,2026-04-09,35.483875,126.990663,3,순정로
P0028,2026-06-29,35.921742,127.735148,1,치마재1로
P0065,2026-07-07,35.31491,126.983377,1,중앙로
P0033,2026-08-05,35.959902,126.749101,1,옥산로
